from,to,weight,nb_shared_citations,Source,Target,bucket
181882,927846,0.25,5,181882,927846,5-10
181882,2013503,0.45643546458763845,5,181882,2013503,5-10
181882,4621009,0.5533985905294664,7,181882,4621009,5-10
181882,8456979,0.23717082451262844,6,181882,8456979,5-10
181882,15529211,0.42905816516051654,9,181882,15529211,5-10
181882,22052805,0.1976423537605237,5,181882,22052805,5-10
181882,24247525,0.4216370213557839,8,181882,24247525,5-10
181882,76064614,0.253546276418555,6,181882,76064614,5-10
181882,81808817,0.35856858280031806,6,181882,81808817,5-10
181882,92346287,0.4242640687119285,6,181882,92346287,5-10
181882,94396214,0.3508232077228117,8,181882,94396214,5-10
214939,8456979,0.2795084971874737,5,214939,8456979,5-10
214939,22052805,0.33541019662496846,6,214939,22052805,5-10
214939,76064614,0.2988071523335984,5,214939,76064614,5-10
364716,927846,0.3952847075210474,5,364716,927846,5-10
364716,8456979,0.4375,7,364716,8456979,5-10
364716,22052805,0.375,6,364716,22052805,5-10
364716,27334211,0.5669467095138409,6,364716,27334211,5-10
364716,101742296,0.4166666666666667,5,364716,101742296,5-10
927415,927846,0.5976143046671968,10,927415,927846,10-14
927415,8456979,0.4252100321353806,9,927415,8456979,5-10
927415,17355017,0.4008918628686366,6,927415,17355017,5-10
927415,22052805,0.472455591261534,10,927415,22052805,10-14
927415,31904418,0.6546536707079772,6,927415,31904418,5-10
927415,73951174,0.5185629788417315,8,927415,73951174,5-10
927415,76064614,0.3535533905932738,7,927415,76064614,5-10
927415,94940407,0.38575837490522974,5,927415,94940407,5-10
927846,975989,0.4743416490252569,6,927846,975989,5-10
927846,3179152,0.35856858280031806,6,927846,3179152,5-10
927846,8456979,0.43481317827315213,11,927846,8456979,10-14
927846,14602608,0.5,5,927846,14602608,5-10
927846,15529211,0.2383656473113981,5,927846,15529211,5-10
927846,17355017,0.33541019662496846,6,927846,17355017,5-10
927846,19627977,0.37267799624996495,5,927846,19627977,5-10
927846,22052805,0.43481317827315213,11,927846,22052805,10-14
927846,27334211,0.35856858280031806,6,927846,27334211,5-10
927846,31895841,0.5196152422706631,9,927846,31895841,5-10
927846,60300900,0.337099931231621,5,927846,60300900,5-10
927846,73951174,0.4880935300919764,9,927846,73951174,5-10
927846,76064614,0.253546276418555,6,927846,76064614,5-10
927846,94940407,0.3227486121839514,5,927846,94940407,5-10
927846,101742296,0.26352313834736496,5,927846,101742296,5-10
927924,6071710,0.4902903378454601,5,927924,6071710,5-10
927924,8456979,0.24514516892273006,5,927924,8456979,5-10
927924,43590636,0.6405126152203485,8,927924,43590636,5-10
927924,76064614,0.2620712091804796,5,927924,76064614,5-10
976002,15529211,0.4767312946227962,5,976002,15529211,5-10
976002,81808817,0.5976143046671968,5,976002,81808817,5-10
1184133,28562745,0.7142857142857143,5,1184133,28562745,5-10
2207572,22052805,0.3125,5,2207572,22052805,5-10
2207592,16182155,0.7272727272727273,8,2207592,16182155,5-10
3179152,8456979,0.2834733547569204,6,3179152,8456979,5-10
3179152,15529211,0.3988620176087328,7,3179152,15529211,5-10
3179152,22052805,0.3307189138830738,7,3179152,22052805,5-10
3179152,31895841,0.3450327796711771,5,3179152,31895841,5-10
3179152,73951174,0.3241018617760822,5,3179152,73951174,5-10
5245420,8456979,0.36084391824351614,5,5245420,8456979,5-10
5245420,22052805,0.43301270189221935,6,5245420,22052805,5-10
5245420,73951174,0.4950737714883372,5,5245420,73951174,5-10
5245420,101742296,0.5773502691896257,6,5245420,101742296,5-10
6071710,43590636,0.5103103630798288,5,6071710,43590636,5-10
6206064,15529211,0.47193990372426947,7,6206064,15529211,5-10
6206064,19230928,0.5,5,6206064,19230928,5-10
6206064,24247525,0.37267799624996495,5,6206064,24247525,5-10
6206064,76064614,0.2988071523335984,5,6206064,76064614,5-10
6206064,88573555,0.45643546458763845,5,6206064,88573555,5-10
6206064,94396214,0.31008683647302115,5,6206064,94396214,5-10
6206064,95433988,0.5,5,6206064,95433988,5-10
6206064,101777013,0.4601789933084222,6,6206064,101777013,5-10
8456979,10526616,0.375,6,8456979,10526616,5-10
8456979,14615632,0.36084391824351614,5,8456979,14615632,5-10
8456979,15529211,0.45226701686664544,12,8456979,15529211,10-14
8456979,15559333,0.3535533905932738,6,8456979,15559333,5-10
8456979,17355017,0.5745242597140698,13,8456979,17355017,10-14
8456979,17421631,0.33407655239053047,5,8456979,17421631,5-10
8456979,19627977,0.3535533905932738,6,8456979,19627977,5-10
8456979,20533251,0.33541019662496846,6,8456979,20533251,5-10
8456979,21641885,0.36084391824351614,5,8456979,21641885,5-10
8456979,22052805,0.625,20,8456979,22052805,20-24
8456979,23324872,0.3952847075210474,5,8456979,23324872,5-10
8456979,23778645,0.2795084971874737,5,8456979,23778645,5-10
8456979,24247525,0.4583333333333333,11,8456979,24247525,10-14
8456979,27334211,0.6141922686399942,13,8456979,27334211,10-14
8456979,31895841,0.3195048252113469,7,8456979,31895841,5-10
8456979,31904418,0.36084391824351614,5,8456979,31904418,5-10
8456979,41723026,0.33541019662496846,6,8456979,41723026,5-10
8456979,43590636,0.2551551815399144,5,8456979,43590636,5-10
8456979,60024504,0.33407655239053047,5,8456979,60024504,5-10
8456979,60300900,0.47970161180012344,9,8456979,60300900,5-10
8456979,73951174,0.5144957554275265,12,8456979,73951174,10-14
8456979,76064614,0.46770717334674267,14,8456979,76064614,10-14
8456979,78967005,0.3125,5,8456979,78967005,5-10
8456979,81808817,0.236227795630767,5,8456979,81808817,5-10
8456979,88573555,0.3061862178478973,6,8456979,88573555,5-10
8456979,92346287,0.2795084971874737,5,8456979,92346287,5-10
